date,month,day,year,total_precip,max_air_temp,min_air_temp,avg_air_temp,max_wind_speed,max_dew_point,min_dew_point
2000-01-01,1,1,2000,0,61.2,34.9,49.9,17.4,NA,NA
2000-01-02,1,2,2000,0,61,34,52,23.6,NA,NA
2000-01-03,1,3,2000,0.2,39.4,31.9,35.5,18.1,NA,NA
2000-01-04,1,4,2000,0,32.6,17.4,24.5,20.8,NA,NA
2000-01-05,1,5,2000,0,42.3,15.4,29.1,15.2,NA,NA
2000-01-06,1,6,2000,0,45.3,29.6,37,12.3,NA,NA
2000-01-07,1,7,2000,0,50.4,22.5,36.9,10.9,NA,NA
2000-01-08,1,8,2000,0.18,45.1,35.7,41.6,10,NA,NA
2000-01-09,1,9,2000,0.14,49.2,42.5,44.8,12.5,NA,NA
2000-01-10,1,10,2000,0,56.3,36.3,45.8,20.9,NA,NA
2000-01-11,1,11,2000,0,45.6,32.5,38,23.1,NA,NA
2000-01-12,1,12,2000,0,63.6,32.2,44,17.9,NA,NA
2000-01-13,1,13,2000,0,38.2,21.5,30.6,16.3,NA,NA
2000-01-14,1,14,2000,0,47.2,17.8,32.9,15.6,NA,NA
2000-01-15,1,15,2000,0,63.9,34.5,49,25.1,NA,NA
2000-01-16,1,16,2000,0,52.5,33.2,38.3,18.3,NA,NA
2000-01-17,1,17,2000,0.05,34.3,31.9,33,17.9,NA,NA
2000-01-18,1,18,2000,0,42.3,29.3,33.8,8.8,NA,NA
2000-01-19,1,19,2000,0.01,46.1,21.1,36.1,27.6,NA,NA
2000-01-20,1,20,2000,0,26.3,10.6,18.6,19.9,NA,NA
2000-01-21,1,21,2000,0,42.9,15.2,29.2,10.9,NA,NA
2000-01-22,1,22,2000,0.08,46.5,30.1,35.7,11.1,NA,NA
2000-01-23,1,23,2000,0,32.1,14.4,24.4,11.6,NA,NA
2000-01-24,1,24,2000,0.01,33.9,12.3,22.9,13.1,NA,NA
2000-01-25,1,25,2000,0,29.7,18.7,24.4,22.2,NA,NA
2000-01-26,1,26,2000,0,29.4,9.4,18.6,11.6,NA,NA
2000-01-27,1,27,2000,0,30.7,11.3,21.6,16.8,NA,NA
2000-01-28,1,28,2000,0,25.8,18.8,22.3,14.8,NA,NA
2000-01-29,1,29,2000,0.01,28.1,20.6,22.9,10.2,NA,NA
2000-01-30,1,30,2000,0,26.7,19.5,22.9,19,NA,NA
2000-01-31,1,31,2000,0,32.9,14,23.8,16.8,NA,NA
2000-02-01,2,1,2000,0.12,37.5,18.5,27.9,13.4,NA,NA
2000-02-02,2,2,2000,0,41.4,10.4,27.9,15.2,NA,NA
2000-02-03,2,3,2000,0,49.7,34.1,40,28.6,NA,NA
2000-02-04,2,4,2000,0,35.3,25.9,30.2,22,NA,NA
2000-02-05,2,5,2000,0,40,20.6,30.4,14.8,NA,NA
2000-02-06,2,6,2000,0,54.3,25.4,39.7,15.9,NA,NA
2000-02-07,2,7,2000,0,52.1,31.7,40.3,11.1,NA,NA
2000-02-08,2,8,2000,0,54.2,24.6,39.1,14.5,NA,NA
2000-02-09,2,9,2000,0,67.4,40.6,53.8,14.1,NA,NA
2000-02-10,2,10,2000,0,64.5,35.9,53.2,16.3,NA,NA
2000-02-11,2,11,2000,0,36.8,26.1,30.1,16.5,NA,NA
2000-02-12,2,12,2000,0,39.4,25.1,32.4,11.6,NA,NA
2000-02-13,2,13,2000,0.02,40.5,32.9,37.6,13.2,NA,NA
2000-02-14,2,14,2000,0,36.1,29.3,31.5,13.8,NA,NA
2000-02-15,2,15,2000,0,65.3,29.6,47.1,19,NA,NA
2000-02-16,2,16,2000,0,46.7,26.6,36,15.6,NA,NA
2000-02-17,2,17,2000,0.78,34.3,31.1,32.9,17.4,NA,NA
2000-02-18,2,18,2000,0.81,35.6,31.7,33.9,18.4,NA,NA
2000-02-19,2,19,2000,0,38.7,30.1,33.3,14.8,NA,NA
2000-02-20,2,20,2000,0,55.7,27.9,40.6,10.7,NA,NA
2000-02-21,2,21,2000,0,65.2,39.5,52.6,17.4,NA,NA
2000-02-22,2,22,2000,0,73.3,52.4,61.5,13.6,NA,NA
2000-02-23,2,23,2000,0.2,66.5,55.1,59.9,19.7,NA,NA
2000-02-24,2,24,2000,0.01,77.8,53.4,63.6,15.9,NA,NA
2000-02-25,2,25,2000,1.14,70,52.6,61.6,21.1,NA,NA
2000-02-26,2,26,2000,0.01,61.6,45.4,54.9,19,NA,NA
2000-02-27,2,27,2000,0,57.7,37.8,47,16.5,NA,NA
2000-02-28,2,28,2000,0,69.7,36.1,53.7,16.8,NA,NA
2000-02-29,2,29,2000,0.01,68.2,49.8,57.2,20.4,NA,NA
2000-03-01,3,1,2000,0,55.5,40.4,47.7,19.5,NA,NA
2000-03-02,3,2,2000,0,50.5,34,43.7,15,NA,NA
2000-03-03,3,3,2000,0.26,42.8,33.5,37.3,15.2,NA,NA
2000-03-04,3,4,2000,0,61.1,26,42.6,11.1,NA,NA
2000-03-05,3,5,2000,0,69.3,32.8,52.4,11.3,NA,NA
2000-03-06,3,6,2000,0,73.8,44.7,60.4,14.8,NA,NA
2000-03-07,3,7,2000,0,81.3,54.9,68.2,17,NA,NA
2000-03-08,3,8,2000,0,74.5,53.8,66.6,36,NA,NA
2000-03-09,3,9,2000,0,53.8,33.1,41.6,25.4,NA,NA
2000-03-10,3,10,2000,0,38.4,28.5,34.8,15.4,NA,NA
2000-03-11,3,11,2000,0.22,45.2,28.8,35.7,15,NA,NA
2000-03-12,3,12,2000,0,52.5,23.3,40.1,15.9,NA,NA
2000-03-13,3,13,2000,0,53.4,38.2,44.8,16.5,NA,NA
2000-03-14,3,14,2000,0.22,54,38.3,45.5,9.7,NA,NA
2000-03-15,3,15,2000,0.39,70.4,42.8,55.6,18.1,NA,NA
2000-03-16,3,16,2000,0.19,46.2,36,39.5,17.7,NA,NA
2000-03-17,3,17,2000,0,50.3,28.1,40.1,21.1,NA,NA
2000-03-18,3,18,2000,0.16,42.7,36.3,39.5,17.2,NA,NA
2000-03-19,3,19,2000,0.13,39.8,35.8,38.2,13.1,NA,NA
2000-03-20,3,20,2000,0,47,35,40.9,14.1,NA,NA
2000-03-21,3,21,2000,0,64.7,42,51,15.6,NA,NA
